,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
1860 München,18,27
Braunschweig,25,17
Darmstadt 98,30,10
Erzgebirge Aue,18,21
FC St. Pauli,24,19
FSV Frankfurt,18,27
Fortuna Düsseldorf,24,29
Greuther Fürth,22,20
Heidenheim,29,15
Ingolstadt 04,32,19
Kaiserslautern,27,12
Karlsruher SC,19,7
Nürnberg,24,17
RB Leipzig,27,16
Sandhausen,12,17
Union Berlin,24,21
VfL Bochum,28,24
VfR Aalen,23,21
