,Home_Points,Away_Points
,sum,sum
Home_Team,,
1860 München,16,31
Braunschweig,31,16
Darmstadt 98,38,8
Erzgebirge Aue,21,27
FC St. Pauli,27,21
FSV Frankfurt,16,28
Fortuna Düsseldorf,19,25
Greuther Fürth,23,23
Heidenheim,28,19
Ingolstadt 04,35,11
Kaiserslautern,38,8
Karlsruher SC,29,14
Nürnberg,31,16
RB Leipzig,34,13
Sandhausen,20,23
Union Berlin,29,17
VfL Bochum,22,19
VfR Aalen,21,24
