,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
Arsenal,48,15
Aston Villa,29,16
Birmingham City,19,13
Blackburn Rovers,28,18
Bolton Wanderers,26,31
Burnley,25,30
Chelsea,68,14
Everton,35,21
Fulham,27,15
Hull City,22,29
Liverpool,43,15
Man. City,41,20
Man. Utd,52,12
Portsmouth,24,32
Stoke City,24,21
Sunderland,32,19
Tottenham Hotspur,40,12
West Ham,30,29
Wigan Athletic,19,24
Wolves,13,22
