,Home_Points,Away_Points
,sum,sum
Home_Team,,
Arsenal,47,5
Aston Villa,33,21
Birmingham City,26,23
Blackburn Rovers,31,19
Bolton Wanderers,26,26
Chelsea,43,7
Derby County,8,44
Everton,37,16
Fulham,20,32
Liverpool,42,9
Man. City,37,16
Man. Utd,52,4
Middlesbrough,26,26
Newcastle,29,23
Portsmouth,29,20
Reading,26,29
Sunderland,30,24
Tottenham Hotspur,29,23
West Ham,28,22
Wigan Athletic,29,23
