,Home_Points,Away_Points
,sum,sum
Home_Team,,
1860 München,479,359
AC Arezzo,104,62
AC Monza,82,58
ADO Den Haag,594,447
AFC Bournemouth,169,151
AGOVV Apeldoorn,330,330
AS Gubbio 1910,25,31
AZ Alkmaar,704,320
Academico Viseu,280,154
Académica,551,311
Ajaccio,663,447
Ajax,890,155
Alavés,546,411
Albacete,554,440
AlbinoLeffe,284,218
Alcorcón,386,233
Alcoyano,25,31
Alemannia Aachen,381,234
Algeciras,22,34
Alicante,13,43
Almere City,136,250
Almería,638,401
Alverca,130,133
AlzanoCene,32,20
Amiens SC,418,319
Ancona,200,119
Angers SCO,503,341
Arles,164,137
Arminia Bielefeld,473,401
Arouca,85,100
Arsenal,926,230
Ascoli,527,401
Aston Villa,509,452
At. Malagueño,74,92
Atalanta,649,340
Athletic,705,429
Atlético,854,305
Atlético B,29,29
Atlético CP,264,0
Auxerre,681,411
Avellino,293,218
B. Dortmund,742,280
B. Leverkusen,694,337
B. Mönchengladbach,661,355
BV Veendam ,72,390
Barcelona,1014,165
Barcelona B,184,166
Barnsley,159,90
Bastia,560,311
Bayern München,912,144
Beauvais Oise,75,72
Beira Mar SC,223,580
Belenenses,623,461
Benevento,153,105
Benfica,856,145
Benfica II,480,84
Besancon RC,23,26
Bilbao Ath.,24,33
Birmingham City,358,250
Blackburn Rovers,431,314
Blackpool,20,32
Boavista,536,281
Bologna,520,412
Bolton Wanderers,393,294
Boulogne,138,126
Bourg-Péronnas,82,76
Bradford City,126,168
Braunschweig,286,214
Brentford,37,13
Brescia,625,391
Brighton & Hove Albion,143,173
Bristol City,24,36
Burgos,22,31
Burnley,364,310
Béziers,18,30
CA Bastia,15,33
CD Badajoz,107,113
CD Castellón,199,133
CD Guadalajara,57,60
CD Logroñés,32,23
CD Santa Clara,616,529
CD Toledo,23,35
CF Extremadura,114,60
CS Louhans Cuiseaux,18,33
Caen,652,460
Cagliari,604,436
Calcio Foggia,62,41
Calcio Portogruaro-Summaga,24,33
Cambuur,473,293
Campomaiorense,48,45
Cannes,57,45
Cardiff City,136,157
Carpi,175,145
Catania,459,240
Catanzaro,43,70
Celta,674,482
Cesena,448,307
Chambly,33,54
Charlton Athletic,243,189
Chateauroux,576,411
Chaves,262,247
Chelsea,918,231
Chemnitzer,37,55
Chievo,554,449
Cittadella,415,337
Ciudad de Murcia,139,88
Clermont,540,354
Como,81,90
Compostela,84,84
Cosenza Calcio,129,81
Cova Piedade,0,198
Coventry City,218,191
Cremonese,131,125
Creteil,317,230
Crewe Alexandra,167,149
Crotone,545,371
Crystal Palace,371,404
Cultural Leonesa,35,20
Cádiz,360,228
Córdoba,571,451
Darmstadt 98,172,142
De Graafschap,504,411
Den Bosch,238,262
Deportivo,697,418
Derby County,210,246
Desportivo Aves,865,610
Dijon FCO,512,341
Dordrecht,461,431
Dunkerque,20,20
Dynamo Dresden,232,184
ES Wasquehal,109,85
Eibar,500,413
Eintracht Frankfurt,601,412
Elche,683,470
Emmen,385,502
Empoli,715,385
Energie Cottbus,412,301
Erzgebirge Aue,418,265
Espanyol,664,484
Espinho,170,170
Estoril,619,301
Estrela Amadora,187,184
Everton,722,410
Evian Thonon Gaillard,162,150
Excelsior,459,477
Extremadura,47,71
FC Augsburg,378,306
FC Carl Zeiss Jena,39,54
FC Cartagena,121,97
FC Eindhoven,462,348
FC Felgueiras,0,408
FC Gueugnon,247,202
FC Libourne Saint Seurin,49,55
FC Maia,238,136
FC Marco,102,306
FC Martigues,46,52
FC Omniworld,38,266
FC Rouen 1899,19,31
FC Savoia 1908,23,26
FC St. Pauli,477,345
FC Volendam,330,237
FSV Frankfurt,184,184
Famalicão,153,39
Farense,398,86
Fatima,90,0
Feirense,354,324
Fermana,24,27
Feyenoord,818,221
Fiorentina,618,312
Fortuna Düsseldorf,335,215
Fortuna Köln,24,21
Fortuna Sittard,536,551
Frosinone,383,269
Fuenlabrada,54,42
Fulham,522,387
Gallipoli ,22,37
Gazélec Ajaccio,158,149
Genoa,667,424
Getafe,642,462
Gil Vicente,761,305
Gillingham,177,144
Gimnàstic Tarragona,386,347
Girona,452,263
Girondins Bordeaux,740,350
Go Ahead Eagles,505,442
Gondomar,234,120
Granada,336,246
Granada 74,31,22
Grenoble,372,261
Greuther Fürth,635,383
Grimsby Town,127,124
Groningen,592,370
Grosseto,199,130
Guingamp,620,419
HFC Haarlem ,452,338
Hamburger SV,622,400
Hannover 96,592,421
Hansa Rostock,298,259
Heerenveen,638,371
Heidenheim,205,115
Hellas Verona,496,352
Helmond Sport,469,355
Heracles,844,313
Hertha BSC,619,403
Hoffenheim,377,263
Holstein Kiel,104,65
Huddersfield Town,136,154
Huesca,349,250
Hull City,111,150
Hércules,302,212
Ingolstadt 04,216,243
Inter,711,219
Ipswich Town,239,128
Istres,327,234
Jahn Regensburg,136,136
Jong AZ,29,29
Jong Ajax,114,102
Jong PSV,29,131
Jong Twente,114,0
Jong Utrecht,0,102
Juve Stabia,110,110
Juventus,813,141
Kaiserslautern,531,348
Karlsruher SC,452,368
Kickers Offenbach FC,97,88
Köln,568,442
Las Palmas,669,423
Latina,118,103
Lazio,627,297
Le Havre,711,387
Le Mans,455,293
Lecce,365,293
Leeds United,205,160
Leganés,358,283
Leicester,402,285
Leixões,603,165
Lens,688,391
Levante,723,447
Leça FC,68,68
Lille,801,318
Liverpool,885,258
Livorno,427,373
Llagostera,69,48
Lleida,116,113
Lorca Deportiva,66,48
Lorca FC,27,30
Lorient,685,421
Lugo,294,207
Luton Town,27,24
MSV Duisburg,419,368
MVV Maastricht,339,339
Mafra,72,0
Magdeburg,16,25
Mainz 05,606,408
Mallorca,680,437
Man. City,881,320
Man. Utd,951,219
Mantova,187,91
Marítimo,601,367
Marítimo II,126,0
Messina,198,117
Metz,604,451
Middlesbrough,333,288
Milan,680,245
Millwall,197,110
Mirandés,212,164
Modena,478,289
Monaco,753,345
Montpellier,686,419
Moreirense,547,340
Málaga,659,497
Mérida CP,35,20
NAC Breda,524,368
NEC Nijmegen,426,459
Nacional,646,337
Nancy,654,456
Nantes,652,442
Napoli,739,244
Naval,141,495
Newcastle,607,424
Nice,717,396
Niort,479,347
Nocerina,23,35
Norwich City,419,263
Nottingham Forest,243,174
Novara,232,157
Numancia,739,439
Nuova Cosenza,67,73
Nîmes,431,314
Nürnberg,577,439
Olhanense,460,286
Olympique Lyonnais,857,254
Olympique Marseille,778,331
Orléans,115,127
Osasuna,665,482
Ovarense,238,34
PEC Zwolle,539,311
PSG,855,264
PSV,921,129
Paderborn,319,271
Padova,188,134
Palermo FC,585,321
Paris FC,133,94
Parma,474,339
Pau FC,25,19
Paços de Ferreira,565,355
Penafiel,657,417
Perugia,289,181
Pescara,479,449
Piacenza,351,219
Pisa,148,109
Pistoiese,77,77
Plymouth Argyle,35,26
Poli Ejido,231,165
Ponferradina,270,171
Pontevedra,27,27
Pordenone,56,32
Port Vale,24,39
Portimonense,476,458
Porto,920,101
Porto II,0,390
Portsmouth,351,267
Preston North End,237,132
Pro Vercelli,142,136
Queens Park Rangers,200,191
Quevilly,17,38
R. Sociedad,711,432
RB Leipzig,236,83
RBC Roosendaal,308,257
RKC Waalwijk,335,305
RM Castilla,135,102
RW Essen,44,44
Racing,422,422
Racing Ferrol,164,173
Ravenna FC,72,84
Rayo Majadahonda,30,27
Rayo Vallecano,559,418
Reading,245,164
Real Betis,698,452
Real Jaén,95,77
Real Madrid,989,200
Real Murcia,419,305
Real Oviedo,340,196
Real Sport Clube,114,0
Real Sporting,754,457
Real Unión de Irún,31,25
Real Valladolid,704,464
Real Zaragoza,720,459
Recreativo,499,379
Red Star,66,93
Reggiana,20,26
Reggina,338,284
Reus Deportiu,70,94
Reutlingen,91,55
Rimini,142,82
Rio Ave,501,432
Roda JC,519,384
Rodez,45,36
Roma,732,207
Rot Weiss Ahlen,187,190
Rot-Weiss Erfurt,19,25
Rot-Weiß Oberhausen,245,179
Rotherham United,130,163
SC Freamunde,450,258
SC Freiburg,629,395
SC Salgueiros,66,78
SC Telstar,386,272
SP. Covilhã,298,250
SPAL,129,123
SSC Bari,579,363
SV Babelsberg 03,9,42
SV Eintracht Trier,80,59
SV Wacker Burghausen,113,110
SV Wehen Burghausen,42,48
Saarbrücken,98,89
Sabadell,159,111
Saint-Étienne,703,397
Salernitana,425,326
Sampdoria,663,411
Sandhausen,204,195
Sassuolo,384,294
Schalke 04,677,347
Schweinfurt,23,23
Sedan,442,247
Sevilla,822,339
Sevilla At.,108,111
Sheffield United,305,221
Sheffield Wednesday,132,165
Siegen Sportfreunde ,20,26
Siena,389,281
Sochaux,660,456
Southampton,413,350
Sparta Rotterdam,505,337
Spezia,355,238
Sporting Braga,720,273
Sporting Braga II,80,206
Sporting CP,803,194
Sporting CP II,46,172
Stade Brestois,526,325
Stade Lavallois,451,316
Stade Rennais,684,417
Stade de Reims,503,344
Stockport County,77,110
Stoke City,436,328
Strasbourg,479,314
Stuttgart,637,394
Stuttgarter Kickers,53,41
Sunderland,453,447
Swansea City,228,189
Swindon Town,21,42
Sète,19,31
TOP Oss,443,470
Tenerife,697,403
Tennis Borussia,28,19
Ternana Calcio,416,287
Terrassa FC,93,75
Tondela,296,200
Torino,645,408
Tottenham Hotspur,806,347
Toulouse,602,446
Tours,321,249
Tranmere Rovers,69,54
Trapani,173,101
Treviso,238,202
Triestina ,306,204
Trofense,206,128
Troyes,657,405
TuS Koblenz,103,76
Twente 1965,652,310
UCAM Murcia,27,30
UD Logroñés,21,24
UD Oliveirense,484,202
UD Salamanca,339,285
Udinese,513,405
Ulm,44,50
Uniao Lamas,204,102
Union Berlin,446,233
Universidad LPGC,24,30
União Madeira,274,55
União de Leiria,287,236
Unterhaching,195,129
Utrecht,675,333
VVV Venlo,508,550
Valence,82,67
Valencia,811,334
Valenciennes,460,331
Vannes,84,66
Varese,173,110
Varzim,405,528
Vecindario,25,34
Venezia,259,208
VfB Lübeck,53,38
VfL Bochum,578,431
VfL Osnabrück,153,162
VfR Aalen,70,67
Vicenza ,512,404
Villarreal,781,364
Villarreal B,95,77
Virtus Entella,183,141
Virtus Lanciano,126,93
Vitesse,627,369
Vitória Guimarães,646,376
Vitória Guimarães B,180,282
Vitória Setúbal,598,442
Vizela,276,0
Waldhof Mannheim,108,81
Walsall,127,127
Watford,392,341
Wehen Wiesbaden,16,31
Werder Bremen,624,405
West Bromwich Albion,462,456
West Ham,625,487
Wigan Athletic,274,262
Willem II,498,504
Wimbledon FC,146,152
Wolfsburg,631,382
Wolves,369,291
Wycombe Wanderers,20,38
Würzburger Kickers,34,46
Xerez,403,280
