,Home_Points,Away_Points
,sum,sum
Home_Team,,
Arsenal,37,16
Aston Villa,31,19
Birmingham City,26,23
Blackburn Rovers,28,22
Blackpool,20,32
Bolton Wanderers,35,17
Chelsea,45,9
Everton,34,16
Fulham,31,19
Liverpool,40,13
Man. City,43,10
Man. Utd,55,1
Newcastle,26,23
Stoke City,34,19
Sunderland,26,26
Tottenham Hotspur,36,12
West Bromwich Albion,30,21
West Ham,20,32
Wigan Athletic,23,26
Wolves,28,25
