,Home_Points,Away_Points
,sum,sum
Home_Team,,
1860 München,23,23
Arminia Bielefeld,20,23
Braunschweig,27,18
FC St. Pauli,29,20
FSV Frankfurt,13,37
Fortuna Düsseldorf,21,27
Greuther Fürth,26,23
Heidenheim,24,21
Kaiserslautern,21,24
Karlsruher SC,28,16
MSV Duisburg,23,23
Nürnberg,38,8
Paderborn,13,31
RB Leipzig,36,12
SC Freiburg,41,8
Sandhausen,23,23
Union Berlin,33,12
VfL Bochum,28,16
