,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
Almería,18,14
Athletic,22,14
Atlético,45,26
Barcelona,46,12
Deportivo,24,23
Espanyol,21,23
Getafe,24,22
Levante,22,34
Mallorca,35,22
Osasuna,25,21
Racing,24,18
Real Betis,27,26
Real Madrid,53,18
Real Murcia,21,26
Real Valladolid,19,18
Real Zaragoza,36,24
Recreativo,24,25
Sevilla,46,20
Valencia,24,31
Villarreal,33,15
