,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
Ajaccio,22,15
Angers SCO,25,14
Arles,27,9
Bastia,31,19
Caen,24,10
Chateauroux,24,27
Clermont,22,15
Dijon FCO,26,23
Guingamp,25,14
Istres,23,18
Le Havre,32,19
Metz,23,12
Nantes,31,26
Nîmes,25,21
Sedan,21,15
Stade Brestois,34,20
Stade Lavallois,29,21
Strasbourg,29,18
Tours,26,23
Vannes,22,26
