,Home_Points,Away_Points
,sum,sum
Home_Team,,
Ajaccio,29,20
Angers SCO,37,16
Arles,42,9
Bastia,31,22
Caen,42,9
Chateauroux,23,29
Clermont,31,22
Dijon FCO,26,23
Guingamp,30,15
Istres,33,18
Le Havre,37,16
Metz,36,15
Nantes,31,22
Nîmes,33,18
Sedan,29,17
Stade Brestois,40,16
Stade Lavallois,28,19
Strasbourg,34,16
Tours,26,23
Vannes,23,29
