,Home_Points,Away_Points
,sum,sum
Home_Team,,
Arminia Bielefeld,14,29
B. Dortmund,33,9
B. Leverkusen,23,23
B. Mönchengladbach,19,28
Bayern München,38,11
Eintracht Frankfurt,19,28
Energie Cottbus,19,31
Hamburger SV,41,8
Hannover 96,31,13
Hertha BSC,39,9
Hoffenheim,32,14
Karlsruher SC,19,28
Köln,17,29
Schalke 04,30,18
Stuttgart,39,9
VfL Bochum,19,28
Werder Bremen,34,13
Wolfsburg,49,1
