,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
215,24,4,0,3,0,33,16,371,268,25,15,370,220
216,25,0,1,0,3,19,23,371,269,14,9,370,223
217,25,1,1,1,1,23,18,372,270,18,13,371,224
218,25,1,0,3,0,34,20,373,270,26,4,374,224
219,25,2,2,1,1,26,12,375,272,28,2,375,225
220,25,1,0,3,0,19,10,376,272,21,7,378,225
221,25,0,2,0,3,11,22,376,274,10,19,378,228
222,25,2,0,3,0,25,13,378,274,27,17,381,228
223,25,0,3,0,3,12,17,378,277,12,14,381,231
224,25,1,2,0,3,16,8,379,279,24,17,381,234
225,26,0,2,0,3,12,19,379,281,12,16,381,237
226,26,2,1,3,0,20,18,381,282,16,10,384,237
227,26,5,1,3,0,37,11,386,283,37,22,387,237
228,26,1,0,3,0,21,9,387,283,34,16,390,237
229,26,1,3,0,3,25,13,388,286,32,19,390,240
230,26,1,2,0,3,21,24,389,288,16,18,390,243
231,26,0,0,1,1,10,17,389,288,14,9,391,244
232,26,4,1,3,0,37,17,393,289,28,2,394,244
233,26,0,2,0,3,11,19,393,291,13,23,394,247
234,27,2,1,3,0,13,23,395,292,13,12,397,247
235,27,2,0,3,0,28,18,397,292,27,17,400,247
236,27,0,3,0,3,26,15,397,295,28,12,400,250
237,27,4,0,3,0,38,20,401,295,29,13,403,250
238,27,3,1,3,0,22,11,404,296,24,19,406,250
239,27,2,0,3,0,18,8,406,296,27,4,409,250
240,27,1,2,0,3,20,25,407,298,14,17,409,253
241,27,1,0,3,0,26,13,408,298,30,17,412,253
242,27,1,1,1,1,24,19,409,299,19,8,413,254
243,28,4,0,3,0,22,8,413,299,30,10,416,254
244,28,2,1,3,0,39,12,415,300,40,23,419,254
245,28,0,1,0,3,12,20,415,301,12,25,419,257
246,28,2,2,1,1,12,19,417,303,15,17,420,258
247,28,0,2,0,3,21,26,417,305,16,22,420,261
248,28,0,3,0,3,11,22,417,308,13,21,420,264
249,28,4,1,3,0,24,19,421,309,19,9,423,264
250,28,2,1,3,0,23,10,423,310,37,2,426,264
251,28,2,1,3,0,27,14,425,311,35,8,429,264
252,29,0,1,0,3,26,16,425,312,28,20,429,267
253,29,3,2,3,0,40,19,428,314,31,12,432,267
254,29,2,0,3,0,28,13,430,314,33,13,435,267
255,29,0,1,0,3,38,21,430,315,29,19,435,270
256,29,2,1,3,0,30,19,432,316,30,19,438,270
257,29,0,1,0,3,24,20,432,317,19,7,438,273
258,29,2,0,3,0,24,11,434,317,27,17,441,273
259,29,2,0,3,0,15,23,436,317,16,17,444,273
260,29,1,1,1,1,21,26,437,318,15,13,445,274
261,30,0,2,0,3,21,28,437,320,16,5,445,277
262,30,0,0,1,1,12,19,437,320,16,11,446,278
263,30,4,0,3,0,43,12,441,320,43,17,449,278
264,30,0,2,0,3,24,21,441,322,19,25,449,281
265,30,1,2,0,3,23,10,442,324,30,26,449,284
266,30,2,1,3,0,40,22,444,325,32,9,452,284
267,30,2,2,1,1,14,22,446,327,13,22,453,285
268,30,1,0,3,0,12,22,447,327,16,8,456,285
269,30,1,1,1,1,24,11,448,328,38,21,457,286
270,31,2,2,1,1,26,22,450,330,20,14,458,287
271,31,2,0,3,0,29,14,452,330,38,12,461,287
272,31,4,1,3,0,32,14,456,331,36,17,464,287
273,31,1,3,0,3,16,26,457,334,16,28,464,290
274,31,2,0,3,0,28,16,459,334,31,19,467,290
275,31,4,0,3,0,28,11,463,334,30,7,470,290
276,31,1,1,1,1,31,20,464,335,31,14,471,291
277,31,2,0,3,0,42,19,466,335,34,17,474,291
278,31,1,0,3,0,22,26,467,335,18,19,477,291
279,32,3,0,3,0,43,22,470,335,35,26,480,291
280,32,1,2,0,3,13,24,471,337,16,24,480,294
281,32,3,0,3,0,46,12,474,337,46,25,483,294
282,32,2,3,0,3,14,22,476,340,16,8,483,297
283,32,0,5,0,3,24,26,476,345,19,11,483,300
284,32,0,2,0,3,14,24,476,347,13,20,483,303
285,32,3,1,3,0,27,12,479,348,41,12,486,303
286,32,0,1,0,3,16,27,479,349,16,12,486,306
287,32,1,2,0,3,24,12,480,351,30,25,486,309
288,33,0,1,0,3,27,13,480,352,41,22,486,312
289,33,2,0,3,0,34,14,482,352,39,11,489,312
290,33,0,5,0,3,31,25,482,357,31,20,489,315
291,33,5,0,3,0,31,22,487,357,23,12,492,315
292,33,1,3,0,3,43,22,488,360,34,10,492,318
293,33,0,0,1,1,29,14,488,360,39,20,493,319
294,33,6,0,3,0,34,11,494,360,33,14,496,319
295,33,2,0,3,0,23,28,496,360,19,14,499,319
296,33,2,2,1,1,30,18,498,362,32,29,500,320
297,34,2,3,0,3,26,15,500,365,30,23,500,323
298,34,4,0,3,0,18,22,504,365,19,24,503,323
299,34,2,1,3,0,45,23,506,366,38,25,506,323
300,34,1,1,1,1,23,27,507,367,19,26,507,324
301,34,2,2,1,1,16,26,509,369,14,9,508,325
302,34,2,3,0,3,26,29,511,372,19,20,508,328
303,34,1,1,1,1,14,25,512,373,17,13,509,329
304,34,3,0,3,0,19,27,515,373,19,26,512,329
305,34,5,1,3,0,51,13,520,374,49,11,515,329
