,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
Arminia Bielefeld,16,26
B. Dortmund,34,11
B. Leverkusen,31,22
B. Mönchengladbach,23,27
Bayern München,45,23
Eintracht Frankfurt,26,29
Energie Cottbus,19,27
Hamburger SV,27,13
Hannover 96,31,25
Hertha BSC,29,14
Hoffenheim,30,18
Karlsruher SC,18,22
Köln,14,25
Schalke 04,26,15
Stuttgart,34,14
VfL Bochum,23,28
Werder Bremen,43,22
Wolfsburg,51,13
