,Home_Points,Away_Points
,sum,sum
Home_Team,,
Alavés,34,19
Athletic,35,17
Atlético,31,19
Barcelona,42,12
CF Extremadura,28,25
Celta,42,9
Deportivo,39,12
Espanyol,35,14
Mallorca,45,9
R. Sociedad,38,14
Racing,23,29
Real Betis,27,27
Real Madrid,44,11
Real Oviedo,29,23
Real Valladolid,34,19
Real Zaragoza,36,18
Tenerife,21,27
UD Salamanca,25,28
Valencia,38,14
Villarreal,24,27
