,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
Den Bosch,0,34
Emmen,136,0
Groningen,204,0
HFC Haarlem ,0,136
Heracles,34,68
PEC Zwolle,0,102
SC Telstar,68,102
TOP Oss,68,34
VVV Venlo,68,0
