,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
196,22,1,2,0,3,22,44,372,305,0,66,264,327
197,22,2,3,0,3,44,66,374,308,0,66,264,330
198,23,4,0,3,0,92,0,378,308,69,0,267,330
199,23,2,1,3,0,46,23,380,309,69,0,270,330
200,23,6,0,3,0,138,0,386,309,69,0,273,330
201,23,2,0,3,0,46,0,388,309,69,0,276,330
202,23,0,1,0,3,0,23,388,310,0,69,276,333
203,23,0,4,0,3,0,92,388,314,0,69,276,336
204,23,0,3,0,3,0,69,388,317,0,69,276,339
205,23,1,2,0,3,23,46,389,319,0,69,276,342
206,23,2,3,0,3,46,69,391,322,0,69,276,345
207,24,4,0,3,0,96,0,395,322,72,0,279,345
208,24,2,1,3,0,48,24,397,323,72,0,282,345
209,24,6,0,3,0,144,0,403,323,72,0,285,345
210,24,2,0,3,0,48,0,405,323,72,0,288,345
211,24,0,1,0,3,0,24,405,324,0,72,288,348
212,24,0,4,0,3,0,96,405,328,0,72,288,351
213,24,0,3,0,3,0,72,405,331,0,72,288,354
214,24,1,2,0,3,24,48,406,333,0,72,288,357
215,24,2,3,0,3,48,72,408,336,0,72,288,360
216,25,4,0,3,0,100,0,412,336,75,0,291,360
217,25,2,1,3,0,50,25,414,337,75,0,294,360
218,25,6,0,3,0,150,0,420,337,75,0,297,360
219,25,2,0,3,0,50,0,422,337,75,0,300,360
220,25,0,1,0,3,0,25,422,338,0,75,300,363
221,25,0,4,0,3,0,100,422,342,0,75,300,366
222,25,0,3,0,3,0,75,422,345,0,75,300,369
223,25,1,2,0,3,25,50,423,347,0,75,300,372
224,25,2,3,0,3,50,75,425,350,0,75,300,375
225,26,4,0,3,0,104,0,429,350,78,0,303,375
226,26,2,1,3,0,52,26,431,351,78,0,306,375
227,26,6,0,3,0,156,0,437,351,78,0,309,375
228,26,2,0,3,0,52,0,439,351,78,0,312,375
229,26,0,1,0,3,0,26,439,352,0,78,312,378
230,26,0,4,0,3,0,104,439,356,0,78,312,381
231,26,0,3,0,3,0,78,439,359,0,78,312,384
232,26,1,2,0,3,26,52,440,361,0,78,312,387
233,26,2,3,0,3,52,78,442,364,0,78,312,390
234,27,4,0,3,0,108,0,446,364,81,0,315,390
235,27,2,1,3,0,54,27,448,365,81,0,318,390
236,27,6,0,3,0,162,0,454,365,81,0,321,390
237,27,2,0,3,0,54,0,456,365,81,0,324,390
238,27,0,1,0,3,0,27,456,366,0,81,324,393
239,27,0,4,0,3,0,108,456,370,0,81,324,396
240,27,0,3,0,3,0,81,456,373,0,81,324,399
241,27,1,2,0,3,27,54,457,375,0,81,324,402
242,27,2,3,0,3,54,81,459,378,0,81,324,405
243,28,4,0,3,0,112,0,463,378,84,0,327,405
244,28,2,1,3,0,56,28,465,379,84,0,330,405
245,28,6,0,3,0,168,0,471,379,84,0,333,405
246,28,2,0,3,0,56,0,473,379,84,0,336,405
247,28,0,1,0,3,0,28,473,380,0,84,336,408
248,28,0,4,0,3,0,112,473,384,0,84,336,411
249,28,0,3,0,3,0,84,473,387,0,84,336,414
250,28,1,2,0,3,28,56,474,389,0,84,336,417
251,28,2,3,0,3,56,84,476,392,0,84,336,420
252,29,4,0,3,0,116,0,480,392,87,0,339,420
253,29,2,1,3,0,58,29,482,393,87,0,342,420
254,29,6,0,3,0,174,0,488,393,87,0,345,420
255,29,2,0,3,0,58,0,490,393,87,0,348,420
256,29,0,1,0,3,0,29,490,394,0,87,348,423
257,29,0,4,0,3,0,116,490,398,0,87,348,426
258,29,0,3,0,3,0,87,490,401,0,87,348,429
259,29,1,2,0,3,29,58,491,403,0,87,348,432
260,29,2,3,0,3,58,87,493,406,0,87,348,435
261,30,4,0,3,0,120,0,497,406,90,0,351,435
262,30,2,1,3,0,60,30,499,407,90,0,354,435
263,30,6,0,3,0,180,0,505,407,90,0,357,435
264,30,2,0,3,0,60,0,507,407,90,0,360,435
265,30,0,1,0,3,0,30,507,408,0,90,360,438
266,30,0,4,0,3,0,120,507,412,0,90,360,441
267,30,0,3,0,3,0,90,507,415,0,90,360,444
268,30,1,2,0,3,30,60,508,417,0,90,360,447
269,30,2,3,0,3,60,90,510,420,0,90,360,450
270,31,4,0,3,0,124,0,514,420,93,0,363,450
271,31,2,1,3,0,62,31,516,421,93,0,366,450
272,31,6,0,3,0,186,0,522,421,93,0,369,450
273,31,2,0,3,0,62,0,524,421,93,0,372,450
274,31,0,1,0,3,0,31,524,422,0,93,372,453
