,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
Avellino,30,18
Brescia,32,33
Carpi,21,25
Cesena,26,21
Cittadella,22,23
Crotone,30,19
Empoli,36,14
Juve Stabia,23,39
Latina,22,18
Modena,41,16
Novara,23,18
Padova,25,30
Palermo FC,29,13
Pescara,30,26
Reggina,23,33
SSC Bari,30,16
Siena,34,20
Spezia,26,23
Ternana Calcio,29,25
Trapani,27,21
Varese,25,23
Virtus Lanciano,22,19
