,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
399,37,1,3,0,3,26,22,511,426,29,23,609,462
400,37,1,1,1,1,21,35,512,427,11,27,610,463
401,37,2,1,3,0,28,17,514,428,34,13,613,463
402,37,2,0,3,0,18,21,516,428,24,25,616,463
403,37,1,3,0,3,28,31,517,431,22,28,616,466
404,37,2,0,3,0,24,18,519,431,31,18,619,466
405,37,5,1,3,0,20,19,524,432,24,16,622,466
406,37,2,2,1,1,20,17,526,434,31,26,623,467
407,38,0,1,0,3,21,28,526,435,22,28,623,470
408,38,3,1,3,0,31,13,529,436,37,24,626,470
409,38,1,1,1,1,28,11,530,437,41,25,627,471
410,38,1,0,3,0,26,22,531,437,25,22,630,471
411,38,1,2,0,3,25,19,532,439,27,21,630,474
412,38,1,1,1,1,21,29,533,440,18,28,631,475
413,38,0,2,0,3,22,21,533,442,27,28,631,478
414,38,3,1,3,0,40,16,536,443,38,10,634,478
415,38,3,0,3,0,25,15,539,443,35,7,637,478
416,38,2,0,3,0,24,15,541,443,37,26,640,478
417,38,2,0,3,0,22,15,543,443,34,16,643,478
418,39,2,2,1,1,28,24,545,445,26,26,644,479
419,39,2,0,3,0,23,18,547,445,33,7,647,479
420,39,2,1,3,0,24,23,549,446,31,16,650,479
421,39,2,1,3,0,28,23,551,447,32,13,653,479
422,39,2,1,3,0,32,20,553,448,41,11,656,479
423,39,0,1,0,3,28,18,553,449,34,30,656,482
424,39,0,2,0,3,20,21,553,451,24,41,656,485
425,39,0,1,0,3,28,32,553,452,22,21,656,488
426,39,3,3,1,1,27,18,556,455,38,27,657,489
427,39,1,2,0,3,19,23,557,457,24,26,657,492
428,39,1,0,3,0,25,18,558,457,34,28,660,492
429,40,2,1,3,0,27,20,560,458,30,16,663,492
430,40,1,2,0,3,22,31,561,460,18,31,663,495
431,40,1,2,0,3,23,23,562,462,27,31,663,498
432,40,2,2,1,1,22,19,564,464,32,27,664,499
433,40,1,2,0,3,29,13,565,466,41,31,664,502
434,40,2,2,1,1,23,37,567,468,12,25,665,503
435,40,2,1,3,0,23,29,569,469,25,25,668,503
436,40,3,1,3,0,34,14,572,470,40,10,671,503
437,40,1,0,3,0,41,16,573,470,41,18,674,503
438,40,1,0,3,0,26,15,574,470,38,21,677,503
439,40,0,3,0,3,22,18,574,473,34,25,677,506
440,41,0,0,1,1,23,18,574,473,34,17,678,507
441,41,2,2,1,1,30,26,576,475,27,22,679,508
442,41,2,0,3,0,26,23,578,475,34,26,682,508
443,41,2,1,3,0,30,19,580,476,37,27,685,508
444,41,1,2,0,3,29,25,581,478,32,44,685,511
445,41,2,0,3,0,34,20,583,478,44,13,688,511
446,41,2,2,1,1,22,23,585,480,25,29,689,512
447,41,4,1,3,0,32,33,589,481,25,7,692,512
448,41,3,0,3,0,30,18,592,481,41,11,695,512
449,41,1,3,0,3,26,21,593,484,34,33,695,515
450,41,2,2,1,1,21,25,595,486,25,27,696,516
451,42,1,2,0,3,23,33,596,488,18,19,696,519
452,42,0,1,0,3,27,21,596,489,30,34,696,522
453,42,2,0,3,0,25,23,598,489,30,25,699,522
454,42,0,0,1,1,29,13,598,489,42,26,700,523
455,42,0,0,1,1,22,19,598,489,33,22,701,524
456,42,0,2,0,3,23,39,598,491,12,34,701,527
457,42,4,1,3,0,30,16,602,492,41,10,704,527
458,42,2,0,3,0,36,14,604,492,43,25,707,527
459,42,0,0,1,1,22,18,604,492,35,28,708,528
460,42,0,0,1,1,41,16,604,492,42,32,709,529
461,42,2,1,3,0,25,30,606,493,28,18,712,529
