,Home_Points,Away_Points
,sum,sum
Home_Team,,
1860 München,27,21
Arminia Bielefeld,19,25
Dynamo Dresden,21,21
Energie Cottbus,18,30
Erzgebirge Aue,30,18
FC St. Pauli,20,26
FSV Frankfurt,26,20
Fortuna Düsseldorf,28,19
Greuther Fürth,33,15
Ingolstadt 04,18,30
Kaiserslautern,32,14
Karlsruher SC,29,14
Köln,35,11
Paderborn,34,13
Sandhausen,26,20
Union Berlin,27,18
VfL Bochum,19,28
VfR Aalen,24,21
